Accident_Index,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area
2016010000005,5,1,1,0,0,1
2016010000006,4,1,1,0,0,1
2016010000008,4,1,1,0,0,1
2016010000016,1,1,1,0,0,1
2016010000018,1,1,1,0,0,1
2016010000019,1,1,1,0,0,1
2016010000020,1,1,1,0,0,1
2016010000021,1,1,1,0,0,1
2016010000023,1,1,1,0,0,1
2016010000024,1,1,1,0,0,1
2016010000025,1,1,1,4,0,1
2016010000028,1,2,1,0,0,1
2016010000031,1,1,1,0,0,1
2016010000033,1,7,1,0,0,1
2016010000035,1,1,1,0,0,1
2016010000039,1,1,1,0,0,1
2016010000046,1,1,1,0,0,1
2016010000047,1,1,1,0,0,1
2016010000048,1,1,1,0,2,1
2016010000049,1,1,1,0,0,1
2016010000050,1,2,1,0,2,1
2016010000051,1,1,1,0,0,1
2016010000052,1,1,1,0,0,1
2016010000053,1,1,1,0,0,1
2016010000055,1,8,1,0,0,1
2016010000056,1,1,1,0,0,1
2016010000058,1,1,1,0,0,1
2016010000060,4,1,1,0,0,1
2016010000061,4,1,1,0,0,1
2016010000064,1,1,1,0,0,1
2016010000066,4,1,1,0,0,1
2016010000067,1,2,2,0,0,1
2016010000069,5,8,1,0,0,1
2016010000072,4,1,1,0,0,1
2016010000073,4,1,1,0,0,1
2016010000074,4,1,1,0,6,1
2016010000076,4,1,1,0,0,1
2016010000077,1,1,1,0,0,1
2016010000079,4,1,1,0,0,1
2016010000081,4,1,1,0,0,1
2016010000082,4,1,1,0,0,2
2016010000084,1,1,1,0,0,1
2016010000085,1,1,1,0,0,1
2016010000086,4,1,1,0,0,1
2016010000087,4,2,2,0,0,1
2016010000090,4,1,1,0,0,1
2016010000092,4,1,1,0,2,1
2016010000094,4,1,2,0,0,1
2016010000095,4,1,1,0,0,1
2016010000096,1,1,1,0,0,1
2016010000099,4,1,1,0,0,1
2016010000100,1,1,1,0,0,1
2016010000101,4,1,1,0,0,1
2016010000103,4,1,1,0,0,1
2016010000108,4,1,1,0,0,1
2016010000109,4,1,1,0,0,1
2016010000110,4,1,1,0,0,1
2016010000114,1,1,1,0,0,1
2016010000115,1,1,1,0,0,1
2016010000116,1,1,1,0,0,1
2016010000117,1,1,1,0,0,1
2016010000119,1,1,1,0,0,1
2016010000120,1,1,1,0,0,1
2016010000121,1,1,1,0,0,1
2016010000122,1,1,1,0,0,1
2016010000124,1,1,1,0,2,1
2016010000125,5,1,1,0,0,1
2016010000126,1,1,1,0,0,1
2016010000129,1,1,1,1,0,1
2016010000130,1,1,1,0,0,1
2016010000132,1,1,1,0,0,1
2016010000134,1,1,1,0,1,1
2016010000135,1,1,1,0,0,1
2016010000138,1,1,1,0,0,1
2016010000140,1,1,1,0,0,1
2016010000141,1,1,1,0,0,1
2016010000143,1,8,1,0,2,1
2016010000146,4,1,1,0,0,1
2016010000147,1,1,1,0,0,1
2016010000153,1,1,1,0,0,1
2016010000154,1,1,1,0,0,1
2016010000157,1,1,1,0,0,1
2016010000159,1,1,1,0,0,1
2016010000161,1,1,1,0,0,1
2016010000162,1,1,1,0,0,1
2016010000163,1,1,1,0,0,1
2016010000167,1,1,1,0,0,1
2016010000169,1,1,1,0,0,1
2016010000171,4,1,1,0,0,1
2016010000172,1,1,1,0,0,1
2016010000174,4,1,1,0,0,1
2016010000175,4,1,1,0,0,1
2016010000176,1,1,1,0,0,1
2016010000178,4,1,1,0,0,1
2016010000179,4,1,1,0,0,1
2016010000180,1,1,1,0,2,1
2016010000181,4,1,1,0,0,1
2016010000182,1,9,2,0,0,1
2016010000183,1,1,1,0,0,1
2016010000185,1,1,1,0,0,1
2016010000186,4,1,1,0,0,1
2016010000189,4,1,1,0,0,1
2016010000191,4,1,1,0,0,1
2016010000192,4,1,1,0,0,1
2016010000193,1,1,1,0,0,1
2016010000194,4,1,1,0,0,1
2016010000195,4,1,1,0,0,1
2016010000196,4,1,1,0,0,1
2016010000197,4,1,1,0,0,1
2016010000198,4,1,1,0,0,1
2016010000199,4,1,1,0,0,1
2016010000200,1,1,1,0,0,1
2016010000202,1,1,1,0,0,1
2016010000204,4,1,1,0,0,1
2016010000206,4,1,1,0,0,1
2016010000209,4,1,1,0,0,1
2016010000210,4,8,1,0,0,1
2016010000211,4,1,1,0,0,1
2016010000212,1,1,1,0,0,1
2016010000213,4,1,1,0,0,1
2016010000217,1,1,1,0,0,1
2016010000218,1,1,1,0,0,1
2016010000224,4,1,1,0,0,1
2016010000229,1,1,1,0,0,1
2016010000230,4,8,1,-1,0,1
2016010000231,1,1,1,0,0,1
2016010000232,4,1,1,0,0,1
2016010000233,1,1,1,0,0,1
2016010000234,1,1,1,0,0,1
2016010000236,1,1,1,0,0,1
2016010000237,1,1,1,0,0,1
2016010000238,1,1,1,0,0,1
2016010000240,1,1,1,0,0,1
2016010000241,1,1,1,0,0,1
2016010000243,1,1,1,0,0,1
2016010000244,1,1,1,0,0,1
2016010000245,4,1,1,0,0,1
2016010000246,1,1,1,0,0,1
2016010000247,1,1,1,0,0,1
2016010000248,1,1,1,0,0,1
2016010000251,1,1,1,0,0,1
2016010000252,1,1,1,0,0,1
2016010000253,1,1,1,0,0,1
2016010000254,1,1,1,0,0,1
2016010000255,1,1,1,0,0,1
2016010000256,4,1,1,0,0,1
2016010000257,1,1,1,0,0,1
2016010000258,1,1,1,0,0,1
2016010000259,1,1,1,0,0,1
2016010000262,1,1,1,0,0,1
2016010000263,1,1,1,0,0,1
2016010000264,1,1,1,0,0,1
2016010000265,1,1,1,0,0,1
2016010000266,4,1,1,0,0,1
2016010000267,1,1,1,0,0,1
2016010000269,1,1,1,0,1,1
2016010000270,1,1,1,0,0,1
2016010000271,1,1,1,0,0,1
2016010000272,4,1,1,0,0,1
2016010000273,1,1,1,1,0,1
2016010000274,1,1,1,0,0,1
2016010000275,1,1,1,0,0,1
2016010000277,4,1,1,0,0,1
2016010000278,6,1,1,0,0,1
2016010000279,4,1,1,0,0,1
2016010000281,4,1,1,0,0,1
2016010000282,4,1,1,0,0,1
2016010000283,4,1,1,0,0,1
2016010000284,4,1,1,0,0,1
