Accident_Index,Police_Force,Did_Police_Officer_Attend_Scene_of_Accident
2016010000005,1,1
2016010000006,1,1
2016010000008,1,1
2016010000016,1,1
2016010000018,1,1
2016010000019,1,1
2016010000020,1,1
2016010000021,1,1
2016010000023,1,1
2016010000024,1,1
2016010000025,1,1
2016010000028,1,1
2016010000031,1,1
2016010000033,1,1
2016010000035,1,1
2016010000039,1,1
2016010000046,1,1
2016010000047,1,1
2016010000048,1,1
2016010000049,1,1
2016010000050,1,1
2016010000051,1,1
2016010000052,1,1
2016010000053,1,1
2016010000055,1,1
2016010000056,1,1
2016010000058,1,1
2016010000060,1,1
2016010000061,1,1
2016010000064,1,1
2016010000066,1,1
2016010000067,1,1
2016010000069,1,1
2016010000072,1,1
2016010000073,1,1
2016010000074,1,1
2016010000076,1,1
2016010000077,1,1
2016010000079,1,1
2016010000081,1,1
2016010000082,1,1
2016010000084,1,1
2016010000085,1,1
2016010000086,1,1
2016010000087,1,1
2016010000090,1,1
2016010000092,1,1
2016010000094,1,1
2016010000095,1,1
2016010000096,1,1
2016010000099,1,1
2016010000100,1,1
2016010000101,1,1
2016010000103,1,1
2016010000108,1,1
2016010000109,1,1
2016010000110,1,1
2016010000114,1,1
2016010000115,1,1
2016010000116,1,1
2016010000117,1,1
2016010000119,1,1
2016010000120,1,1
2016010000121,1,1
2016010000122,1,1
2016010000124,1,1
2016010000125,1,1
2016010000126,1,1
2016010000129,1,1
2016010000130,1,1
2016010000132,1,1
2016010000134,1,1
2016010000135,1,1
2016010000138,1,1
2016010000140,1,1
2016010000141,1,1
2016010000143,1,1
2016010000146,1,1
2016010000147,1,1
2016010000153,1,1
2016010000154,1,1
2016010000157,1,1
2016010000159,1,1
2016010000161,1,1
2016010000162,1,1
2016010000163,1,1
2016010000167,1,1
2016010000169,1,1
2016010000171,1,1
2016010000172,1,1
2016010000174,1,1
2016010000175,1,1
2016010000176,1,1
2016010000178,1,1
2016010000179,1,1
2016010000180,1,1
2016010000181,1,1
2016010000182,1,1
2016010000183,1,1
2016010000185,1,1
2016010000186,1,1
2016010000189,1,1
2016010000191,1,1
2016010000192,1,1
2016010000193,1,1
2016010000194,1,1
2016010000195,1,1
2016010000196,1,1
2016010000197,1,1
2016010000198,1,1
2016010000199,1,1
2016010000200,1,1
2016010000202,1,1
2016010000204,1,1
2016010000206,1,1
2016010000209,1,1
2016010000210,1,1
2016010000211,1,1
2016010000212,1,1
2016010000213,1,1
2016010000217,1,1
2016010000218,1,1
2016010000224,1,1
2016010000229,1,1
2016010000230,1,3
2016010000231,1,1
