Accident_Index,Accident_Severity
2016010000005,3
2016010000006,3
2016010000008,3
2016010000016,3
2016010000018,3
2016010000019,3
2016010000020,3
2016010000021,3
2016010000023,3
2016010000024,3
2016010000025,3
2016010000028,3
2016010000031,3
2016010000033,2
2016010000035,3
2016010000039,3
2016010000046,3
2016010000047,3
2016010000048,2
2016010000049,3
2016010000050,3
2016010000051,3
2016010000052,3
2016010000053,3
2016010000055,3
2016010000056,2
2016010000058,3
2016010000060,3
2016010000061,3
2016010000064,3
2016010000066,3
2016010000067,3
2016010000069,3
2016010000072,3
2016010000073,3
2016010000074,3
2016010000076,3
2016010000077,3
2016010000079,3
2016010000081,3
2016010000082,3
2016010000084,3
2016010000085,3
2016010000086,3
2016010000087,3
2016010000090,3
2016010000092,3
2016010000094,3
2016010000095,3
2016010000096,3
2016010000099,3
2016010000100,2
2016010000101,3
2016010000103,3
2016010000108,3
2016010000109,3
2016010000110,3
2016010000114,3
2016010000115,3
2016010000116,2
2016010000117,3
2016010000119,3
2016010000120,3
2016010000121,2
2016010000122,3
2016010000124,3
2016010000125,3
2016010000126,3
2016010000129,3
2016010000130,3
2016010000132,2
2016010000134,3
2016010000135,3
2016010000138,3
2016010000140,2
2016010000141,3
2016010000143,3
2016010000146,3
2016010000147,3
2016010000153,3
2016010000154,3
2016010000157,2
2016010000159,3
2016010000161,3
2016010000162,3
2016010000163,2
2016010000167,3
2016010000169,3
2016010000171,3
2016010000172,3
2016010000174,3
2016010000175,3
2016010000176,3
2016010000178,3
2016010000179,3
2016010000180,3
2016010000181,2
2016010000182,2
2016010000183,3
2016010000185,3
2016010000186,3
2016010000189,3
2016010000191,3
2016010000192,3
2016010000193,3
2016010000194,2
2016010000195,3
2016010000196,3
2016010000197,3
2016010000198,3
2016010000199,3
2016010000200,3
2016010000202,3
2016010000204,3
2016010000206,3
2016010000209,3
2016010000210,3
2016010000211,2
2016010000212,3
2016010000213,3
2016010000217,2
2016010000218,3
2016010000224,3
2016010000229,3
2016010000230,3
2016010000231,3
2016010000232,2
2016010000233,2
2016010000234,3
2016010000236,3
2016010000237,3
2016010000238,3
2016010000240,1
2016010000241,3
2016010000243,3
2016010000244,3
2016010000245,3
2016010000246,3
2016010000247,3
2016010000248,3
2016010000251,2
2016010000252,3
2016010000253,3
2016010000254,3
2016010000255,3
2016010000256,2
2016010000257,3
2016010000258,2
2016010000259,3
2016010000262,3
2016010000263,3
2016010000264,3
2016010000265,3
2016010000266,3
2016010000267,3
2016010000269,3
2016010000270,3
2016010000271,3
2016010000272,3
2016010000273,3
2016010000274,2
2016010000275,3
2016010000277,3
2016010000278,3
2016010000279,3
2016010000281,3
2016010000282,3
2016010000283,2
2016010000284,3
2016010000285,3
2016010000286,3
2016010000287,3
2016010000288,3
2016010000289,3
2016010000290,3
2016010000291,3
2016010000292,3
2016010000293,2
2016010000294,3
2016010000295,3
2016010000298,3
2016010000299,3
2016010000300,3
2016010000302,3
2016010000303,2
2016010000304,3
2016010000305,3
2016010000306,3
2016010000307,3
2016010000308,3
2016010000310,3
2016010000311,3
2016010000316,2
2016010000319,3
2016010000320,3
2016010000323,3
2016010000325,3
2016010000327,3
2016010000331,3
2016010000332,3
2016010000333,3
2016010000334,3
2016010000337,3
2016010000339,3
2016010000340,3
2016010000341,3
2016010000343,3
2016010000344,3
2016010000345,2
2016010000347,3
2016010000348,3
2016010000349,3
2016010000352,3
2016010000354,3
2016010000356,3
2016010000357,3
2016010000358,3
2016010000359,2
2016010000361,2
2016010000362,3
2016010000363,3
2016010000364,2
2016010000365,3
2016010000367,3
2016010000368,3
2016010000370,3
2016010000373,3
2016010000374,3
2016010000375,3
2016010000377,3
2016010000378,3
2016010000379,3
2016010000380,3
2016010000381,3
2016010000383,3
2016010000384,3
2016010000386,3
2016010000388,2
2016010000389,3
2016010000390,3
2016010000391,2
2016010000392,3
2016010000393,3
2016010000394,2
2016010000395,2
2016010000396,3
2016010000397,3
2016010000398,3
2016010000399,3
2016010000400,3
2016010000401,3
2016010000402,3
2016010000403,2
2016010000405,3
2016010000406,3
2016010000407,3
2016010000408,2
2016010000411,3
2016010000413,3
2016010000414,3
2016010000416,2
2016010000417,3
2016010000418,3
2016010000419,3
2016010000420,3
2016010000422,3
2016010000423,3
2016010000424,3
2016010000425,3
2016010000426,3
2016010000427,3
2016010000428,3
2016010000429,2
2016010000433,3
2016010000436,3
2016010000437,3
2016010000438,3
2016010000439,3
2016010000441,3
2016010000444,3
2016010000445,3
2016010000446,3
2016010000447,3
2016010000449,3
2016010000452,2
2016010000453,3
2016010000454,3
2016010000455,3
2016010000456,3
2016010000457,3
2016010000459,2
2016010000460,3
2016010000461,3
2016010000462,3
2016010000463,3
2016010000464,3
2016010000465,3
2016010000467,3
2016010000470,3
2016010000471,2
2016010000472,3
2016010000473,3
2016010000474,3
2016010000476,3
2016010000478,3
2016010000479,3
2016010000481,3
2016010000482,3
2016010000483,3
2016010000484,3
2016010000485,2
2016010000486,3
2016010000487,2
2016010000488,1
2016010000490,3
2016010000491,3
2016010000492,3
2016010000494,3
2016010000495,2
2016010000496,2
2016010000497,2
2016010000498,3
2016010000499,3
2016010000500,2
2016010000501,3
2016010000502,2
2016010000503,2
2016010000504,3
2016010000505,3
2016010000506,3
2016010000507,3
2016010000509,2
2016010000511,3
2016010000513,3
2016010000514,3
2016010000515,3
2016010000516,3
2016010000517,3
2016010000518,2
2016010000519,3
2016010000522,3
2016010000523,3
2016010000524,3
2016010000526,3
2016010000527,3
2016010000529,3
2016010000531,2
2016010000533,3
2016010000534,3
2016010000535,3
2016010000536,3
2016010000538,3
2016010000541,3
2016010000544,3
2016010000545,3
2016010000546,3
2016010000547,3
2016010000548,3
2016010000550,3
2016010000551,3
2016010000552,3
2016010000553,3
2016010000554,3
2016010000555,3
2016010000556,3
2016010000557,3
2016010000558,3
2016010000560,3
2016010000562,3
2016010000563,3
2016010000564,3
2016010000566,3
2016010000568,3
2016010000569,3
2016010000570,3
2016010000572,3
2016010000575,3
2016010000576,3
2016010000577,3
2016010000578,3
2016010000579,3
2016010000582,3
2016010000583,3
2016010000584,3
2016010000585,3
2016010000586,3
2016010000587,3
2016010000588,3
2016010000590,3
2016010000592,3
2016010000593,3
2016010000594,3
2016010000596,3
2016010000597,3
2016010000599,2
2016010000602,3
2016010000605,3
2016010000607,3
2016010000608,3
2016010000609,3
2016010000610,2
2016010000611,3
2016010000612,3
2016010000613,2
2016010000614,3
2016010000615,3
2016010000617,3
2016010000620,3
2016010000623,3
2016010000624,3
2016010000626,3
2016010000627,2
2016010000628,3
2016010000629,3
2016010000630,3
2016010000631,3
2016010000632,3
2016010000634,3
2016010000636,3
2016010000637,3
2016010000638,3
2016010000640,3
2016010000642,3
2016010000643,2
2016010000644,3
2016010000645,2
2016010000646,3
2016010000648,3
2016010000649,3
2016010000650,3
2016010000651,3
2016010000652,3
2016010000654,3
2016010000655,3
2016010000656,3
2016010000658,2
2016010000659,3
2016010000660,3
2016010000662,3
2016010000663,3
2016010000664,2
2016010000665,3
2016010000667,3
2016010000668,3
2016010000669,3
2016010000670,3
2016010000671,3
2016010000672,3
2016010000673,3
2016010000674,3
2016010000675,3
2016010000677,3
2016010000678,3
2016010000679,3
2016010000680,3
2016010000681,3
2016010000682,3
2016010000683,3
2016010000684,3
2016010000685,3
2016010000686,3
2016010000688,3
2016010000690,3
2016010000691,3
2016010000692,3
2016010000694,3
2016010000695,3
2016010000696,3
2016010000697,3
2016010000698,3
2016010000700,3
2016010000707,3
2016010000708,3
2016010000711,3
2016010000717,3
2016010000718,3
2016010000719,3
2016010000722,3
2016010000725,3
2016010000726,3
2016010000727,3
2016010000728,3
2016010000730,3
2016010000732,3
2016010000733,3
2016010000734,3
2016010000735,3
2016010000737,2
2016010000739,3
2016010000742,3
2016010000743,3
2016010000746,2
2016010000747,3
2016010000748,2
2016010000749,3
2016010000750,3
2016010000751,2
2016010000752,2
2016010000753,3
2016010000756,3
2016010000757,2
2016010000760,3
2016010000761,2
2016010000763,3
2016010000767,3
2016010000769,2
2016010000771,3
2016010000775,3
2016010000776,3
2016010000778,3
2016010000779,3
2016010000780,3
2016010000782,3
2016010000783,3
2016010000786,3
2016010000787,3
2016010000788,3
2016010000790,3
2016010000792,3
2016010000793,3
2016010000794,3
2016010000797,3
2016010000798,3
2016010000800,3
2016010000801,3
2016010000802,3
2016010000803,2
2016010000804,3
2016010000805,3
2016010000806,3
2016010000808,3
2016010000809,3
2016010000810,3
2016010000811,3
2016010000812,2
2016010000813,3
2016010000814,3
2016010000815,3
2016010000816,3
2016010000818,3
2016010000819,3
2016010000820,3
2016010000823,3
2016010000824,3
2016010000825,3
2016010000828,2
2016010000830,3
2016010000831,3
2016010000832,3
2016010000833,3
2016010000834,3
2016010000835,3
2016010000836,2
2016010000844,3
2016010000845,3
2016010000846,2
2016010000848,3
2016010000849,3
2016010000850,3
2016010000852,3
2016010000861,2
2016010000862,3
2016010000863,3
2016010000865,3
2016010000866,3
2016010000869,3
2016010000871,3
2016010000872,3
2016010000873,3
2016010000874,3
2016010000875,3
2016010000876,3
2016010000877,3
2016010000879,3
2016010000882,3
2016010000883,3
2016010000884,3
2016010000885,2
2016010000890,3
2016010000891,3
2016010000893,3
2016010000894,3
2016010000895,3
2016010000899,3
2016010000901,3
2016010000902,3
2016010000903,3
2016010000906,3
2016010000911,2
2016010000912,3
2016010000913,3
2016010000916,3
2016010000917,3
2016010000918,3
2016010000919,3
2016010000920,3
2016010000922,2
2016010000924,3
2016010000925,3
2016010000926,3
2016010000928,3
2016010000930,2
2016010000931,3
2016010000932,3
2016010000933,3
2016010000934,3
2016010000935,3
2016010000936,3
2016010000937,2
2016010000938,3
2016010000939,2
2016010000940,3
2016010000941,3
2016010000943,3
2016010000944,3
2016010000945,2
2016010000947,3
2016010000948,3
2016010000949,2
2016010000953,3
2016010000954,3
2016010000955,3
2016010000956,3
2016010000957,3
2016010000958,3
2016010000961,3
2016010000962,3
2016010000963,3
2016010000964,3
2016010000966,3
2016010000967,3
2016010000969,3
2016010000970,3
2016010000971,3
2016010000974,3
2016010000975,3
2016010000976,3
2016010000978,3
2016010000981,3
2016010000982,2
2016010000984,3
2016010000985,3
2016010000987,3
2016010000988,3
2016010000997,3
2016010000998,3
2016010001000,3
2016010001001,3
2016010001002,3
2016010001005,3
2016010001008,3
